Date/Time,Unit,Value,Sensor
8/5/2017 6:00,C,15.622,MC1H
8/5/2017 5:00,C,14.073,MC1L
8/5/2017 5:00,C,16.123,MC1H
8/5/2017 4:00,C,14.574,MC1L
8/5/2017 4:00,C,16.624,MC1H
8/5/2017 3:00,C,15.075,MC1L
8/5/2017 3:00,C,17.125,MC1H
8/5/2017 2:00,C,15.577,MC1L
8/5/2017 2:00,C,17.625,MC1H
8/5/2017 1:00,C,16.078,MC1L
8/5/2017 1:00,C,18.126,MC1H
8/5/2017 0:00,C,16.579,MC1L
8/5/2017 0:00,C,18.627,MC1H
8/4/2017 23:00,C,18.083,MC1L
8/4/2017 23:00,C,19.628,MC1H
8/4/2017 22:00,C,19.084,MC1L
8/4/2017 22:00,C,20.629,MC1H
8/4/2017 21:00,C,20.086,MC1L
8/4/2017 21:00,C,21.129,MC1H
8/4/2017 20:00,C,21.588,MC1L
8/4/2017 20:00,C,22.63,MC1H
8/4/2017 19:00,C,22.088,MC1L
8/4/2017 19:00,C,23.13,MC1H
8/4/2017 18:00,C,22.589,MC1L
8/4/2017 18:00,C,23.631,MC1H
8/4/2017 17:00,C,23.589,MC1L
8/4/2017 17:00,C,24.631,MC1H
8/4/2017 16:00,C,25.09,MC1L
8/4/2017 16:00,C,25.631,MC1H
8/4/2017 15:00,C,24.09,MC1L
8/4/2017 15:00,C,24.631,MC1H
8/4/2017 14:00,C,23.089,MC1L
8/4/2017 14:00,C,24.131,MC1H
8/4/2017 13:00,C,23.089,MC1L
8/4/2017 13:00,C,24.131,MC1H
8/4/2017 12:00,C,23.089,MC1L
8/4/2017 12:00,C,24.131,MC1H
8/4/2017 11:00,C,21.588,MC1L
8/4/2017 11:00,C,22.63,MC1H
8/4/2017 10:00,C,20.587,MC1L
8/4/2017 10:00,C,21.63,MC1H
8/4/2017 9:00,C,20.086,MC1L
8/4/2017 9:00,C,21.129,MC1H
8/4/2017 8:00,C,19.585,MC1L
8/4/2017 8:00,C,20.629,MC1H
8/4/2017 7:00,C,19.084,MC1L
8/4/2017 7:00,C,20.128,MC1H
8/4/2017 6:00,C,19.585,MC1L
8/4/2017 6:00,C,20.629,MC1H
8/4/2017 5:00,C,19.585,MC1L
8/4/2017 5:00,C,20.629,MC1H
8/4/2017 4:00,C,19.084,MC1L
8/4/2017 4:00,C,20.629,MC1H
8/4/2017 3:00,C,18.584,MC1L
8/4/2017 3:00,C,20.128,MC1H
8/4/2017 2:00,C,18.584,MC1L
8/4/2017 2:00,C,20.128,MC1H
8/4/2017 1:00,C,19.084,MC1L
8/4/2017 1:00,C,20.629,MC1H
8/4/2017 0:00,C,19.585,MC1L
8/4/2017 0:00,C,21.129,MC1H
8/3/2017 23:00,C,20.587,MC1L
8/3/2017 23:00,C,22.13,MC1H
8/3/2017 22:00,C,21.087,MC1L
8/3/2017 22:00,C,22.63,MC1H
8/3/2017 21:00,C,22.088,MC1L
8/3/2017 21:00,C,23.631,MC1H
8/3/2017 20:00,C,23.589,MC1L
8/3/2017 20:00,C,25.131,MC1H
8/3/2017 19:00,C,24.59,MC1L
8/3/2017 19:00,C,26.131,MC1H
8/3/2017 18:00,C,26.09,MC1L
8/3/2017 18:00,C,27.131,MC1H
8/3/2017 17:00,C,27.589,MC1L
8/3/2017 17:00,C,28.63,MC1H
8/3/2017 16:00,C,28.089,MC1L
8/3/2017 16:00,C,28.63,MC1H
8/3/2017 15:00,C,30.087,MC1L
8/3/2017 15:00,C,28.63,MC1H
8/3/2017 14:00,C,27.09,MC1L
8/3/2017 14:00,C,27.63,MC1H
8/3/2017 13:00,C,26.09,MC1L
8/3/2017 13:00,C,26.631,MC1H
8/3/2017 12:00,C,24.59,MC1L
8/3/2017 12:00,C,25.131,MC1H
8/3/2017 11:00,C,23.089,MC1L
8/3/2017 11:00,C,23.631,MC1H
8/3/2017 10:00,C,21.087,MC1L
8/3/2017 10:00,C,22.13,MC1H
8/3/2017 9:00,C,19.585,MC1L
8/3/2017 9:00,C,21.129,MC1H
8/3/2017 8:00,C,19.585,MC1L
8/3/2017 8:00,C,20.629,MC1H
8/3/2017 7:00,C,19.585,MC1L
8/3/2017 7:00,C,21.129,MC1H
8/3/2017 6:00,C,20.086,MC1L
8/3/2017 6:00,C,21.63,MC1H
8/3/2017 5:00,C,20.086,MC1L
8/3/2017 5:00,C,21.129,MC1H
8/3/2017 4:00,C,20.086,MC1L
8/3/2017 4:00,C,21.129,MC1H
8/3/2017 3:00,C,19.585,MC1L
8/3/2017 3:00,C,20.629,MC1H
8/3/2017 2:00,C,19.084,MC1L
8/3/2017 2:00,C,20.629,MC1H
8/3/2017 1:00,C,18.584,MC1L
8/3/2017 1:00,C,20.128,MC1H
8/3/2017 1:00,C,23.586,RC1H
8/3/2017 1:00,C,17.581,RC1L
8/3/2017 0:00,C,19.084,MC1L
8/3/2017 0:00,C,20.629,MC1H
8/3/2017 0:00,C,23.586,RC1H
8/3/2017 0:00,C,17.581,RC1L
8/2/2017 23:00,C,19.084,MC1L
8/2/2017 23:00,C,21.129,MC1H
8/2/2017 23:00,C,24.086,RC1H
8/2/2017 23:00,C,18.082,RC1L
8/2/2017 22:00,C,20.587,MC1L
8/2/2017 22:00,C,22.13,MC1H
8/2/2017 22:00,C,25.586,RC1H
8/2/2017 22:00,C,19.583,RC1L
8/2/2017 21:00,C,22.589,MC1L
8/2/2017 21:00,C,24.131,MC1H
8/2/2017 21:00,C,28.584,RC1H
8/2/2017 21:00,C,23.086,RC1L
8/2/2017 20:00,C,24.59,MC1L
8/2/2017 20:00,C,26.131,MC1H
8/2/2017 20:00,C,35.574,RC1H
8/2/2017 20:00,C,28.085,RC1L
8/2/2017 19:00,C,26.59,MC1L
8/2/2017 19:00,C,27.131,MC1H
8/2/2017 19:00,C,42.055,RC1H
8/2/2017 19:00,C,31.581,RC1L
8/2/2017 18:00,C,29.088,MC1L
8/2/2017 18:00,C,28.13,MC1H
8/2/2017 18:00,C,47.533,RC1H
8/2/2017 18:00,C,34.576,RC1L
8/2/2017 17:00,C,28.089,MC1L
8/2/2017 17:00,C,29.13,MC1H
8/2/2017 17:00,C,53.501,RC1H
8/2/2017 17:00,C,41.059,RC1L
8/2/2017 16:00,C,28.589,MC1L
8/2/2017 16:00,C,29.13,MC1H
8/2/2017 16:00,C,57.973,RC1H
8/2/2017 16:00,C,45.044,RC1L
8/2/2017 15:00,C,31.086,MC1L
8/2/2017 15:00,C,28.63,MC1H
8/2/2017 15:00,C,60.455,RC1H
8/2/2017 15:00,C,46.04,RC1L
8/2/2017 14:00,C,28.089,MC1L
8/2/2017 14:00,C,27.131,MC1H
8/2/2017 14:00,C,58.966,RC1H
8/2/2017 14:00,C,44.546,RC1L
8/2/2017 13:00,C,26.09,MC1L
8/2/2017 13:00,C,25.631,MC1H
8/2/2017 13:00,C,53.998,RC1H
8/2/2017 13:00,C,41.059,RC1L
8/2/2017 12:00,C,24.09,MC1L
8/2/2017 12:00,C,23.13,MC1H
8/2/2017 12:00,C,48.03,RC1H
8/2/2017 12:00,C,35.574,RC1L
8/2/2017 11:00,C,21.087,MC1L
8/2/2017 11:00,C,21.63,MC1H
8/2/2017 11:00,C,38.068,RC1H
8/2/2017 11:00,C,26.086,RC1L
8/2/2017 10:00,C,19.084,MC1L
8/2/2017 10:00,C,20.128,MC1H
8/2/2017 10:00,C,34.077,RC1H
8/2/2017 10:00,C,22.085,RC1L
8/2/2017 9:00,C,17.582,MC1L
